customer_id,avg_transaction_value
C6521,3022.219091
C1602,2063.390000
C1524,2206.762353
C1100,2515.874667
C5725,1696.303000
C1571,1998.824615
C3970,2054.343077
C8007,2746.400000
C6966,1786.749444
C2430,2887.857778
C2207,2788.628000
C2367,3651.252857
C8196,1841.320909
C2777,2134.594444
C7299,2834.363889
C7031,2253.949333
C8178,1693.778333
C2320,1881.182667
C9225,2211.704706
C2983,2299.855000
C4932,1623.851111
C1842,2567.854615
C2100,2950.378421
C2843,2588.096667
C5169,1251.250769
C6091,2217.230000
C8907,2695.496471
C5733,2920.568000
C8387,1909.171429
C4276,1817.927778
C8111,2480.199231
C6174,2483.355455
C5236,2277.708571
C8618,1835.731250
C6406,2184.212105
C4980,1660.480909
C4202,1782.076250
C1804,1989.954444
C9587,2251.283846
C4863,3041.830714
C8368,2355.263571
C5219,2733.284000
C8849,1909.598182
C1875,2713.092000
C2490,3490.845714
C5745,2124.376500
C3029,2795.777895
C5934,1960.535263
C3280,1685.083333
C7927,2396.334000
C7995,1295.837143
C6502,2934.277778
C6832,2471.580833
C7413,3407.775556
C2243,2719.202857
C9224,1924.328125
C3620,3033.137500
C3981,2161.104286
C3397,2820.633333
C8230,2365.877333
C1628,1880.474000
C7810,1714.136471
C7341,2690.533077
C9605,2811.006875
C5835,2322.845714
C1305,1695.139091
C3178,2357.532857
C9082,3004.016429
C2846,3110.538125
C3424,2350.850667
C1774,2633.350000
C5839,3641.148571
C5490,2479.964375
C8477,2778.608750
C4566,1921.916842
C4112,2063.918571
C8090,2456.595714
C3109,1741.554375
C5055,1852.233077
C4141,1802.677143
C8112,1991.742500
C9405,2470.719000
C1829,2692.524167
C5984,1938.660000
C5974,4757.512000
C2178,2692.561538
C1482,2331.110000
C7923,2019.693846
C3929,2145.089167
C2744,2486.334706
C1130,2334.439524
C4973,2819.846316
C6198,2221.435714
C2570,1811.280625
C2899,1966.574545
C4362,2440.520625
C5781,1901.371176
C2779,2645.717778
C8661,2144.386364
C3829,2131.041000
C1586,2584.013636
C4330,2358.267000
C6606,3647.551429
C1709,2629.485833
C1665,1667.828235
C1917,2390.532500
C2954,2492.572308
C8666,2316.267000
C9602,3307.868333
C8817,2801.220000
C5607,2341.355833
C1189,1968.525556
C3124,2132.778571
C5017,2908.928000
C5988,3913.592857
C1194,1650.472143
C2539,2431.090000
C4592,3979.799091
C8675,2261.587273
C2218,2667.030000
C6975,3116.218182
C7826,2826.425000
C1814,1427.904545
C6924,2412.184667
C9393,2010.861250
C4598,2997.632500
C3457,1807.066667
C8228,3321.487143
C8075,2683.238182
C9229,3370.427692
C9084,2328.453684
C1212,2182.812500
C1852,2487.840000
C4050,2125.157000
C4105,2467.111538
C6754,3366.483333
C2006,2685.093500
C7977,2440.985000
C7228,2826.995714
C9388,2281.703571
C3202,1670.328125
C7164,2069.187500
C4364,2571.978000
C5872,3073.240000
C2743,2227.966000
C4166,2507.121579
C7479,2708.093077
C6463,2117.870000
C9495,3243.850909
C4909,2664.078750
C7681,2697.555385
C1729,2048.307500
C9760,2496.813750
C1096,1673.966923
C7777,2738.647368
C1358,2634.593571
C7511,2385.265000
C1642,1521.425000
C5461,2472.807000
C6448,2733.378571
C6326,1700.112000
C3842,2445.550000
C1815,2997.013333
C5526,3322.563571
C8803,2423.790909
C1623,3620.993125
C3234,1803.279412
C1520,1451.290000
C9171,2196.027647
C5307,2619.934444
C5421,2418.491538
C7035,2743.537895
C4054,1633.788824
C8241,3666.845000
C8737,3293.171429
C3099,2149.694545
C6165,2089.610000
C7345,3036.846000
C7333,2431.397857
C5418,3843.510000
C5655,2197.366000
C2357,1928.277500
C7054,2636.427143
C3642,1362.337000
C2428,2695.860769
C3927,3814.074000
C4942,2731.680000
C6940,2551.024667
C5323,2452.776667
C9664,3798.632727
C5164,2224.315625
C2650,2659.678667
C9008,2444.806667
C2705,3340.428333
C1704,1688.266000
C2534,2142.835000
C7990,2401.033000
C1195,2863.620000
C5811,2231.069000
C6123,2821.765000
C5855,2286.769000
C5176,2567.623077
C1173,1595.099444
C6087,1691.593333
C8508,987.858333
C6772,2774.075833
C6702,2876.463000
C8433,2070.417895
C9159,2399.231538
C4741,2277.530000
C9182,1732.904667
C8845,2109.722500
C3677,2743.540769
C8473,2464.574286
C5646,2521.215000
C8590,2627.733846
C6762,2720.776154
C2472,2758.700833
C9765,3404.270000
C2508,2765.470769
C8983,2490.322222
C2342,3016.909091
C9534,2681.154706
C6951,1841.973077
C3553,2790.677368
C7949,1897.153636
C6782,2869.836000
C1491,2028.261875
C1454,2744.251538
C8765,1668.451000
C6900,2225.589167
C6681,2859.827333
C7415,2983.244286
C5644,3403.353333
C2425,3168.739167
C5857,3377.356364
C1649,2993.103636
C6715,3093.500714
C2576,3321.420000
C3069,2884.442143
C4708,3328.864375
C2379,1813.172500
C7925,2577.142143
C8300,3973.272143
C4440,3163.810000
C5105,2164.365000
C4171,3013.456154
C9706,1591.937500
C3097,2070.890000
C7579,2988.993000
C8838,2566.072000
C2358,2475.094000
C6748,2625.753333
C3163,2383.311538
C3777,2150.717000
C9014,2956.432667
C7132,2301.984615
C9438,2582.721818
C7615,2216.004667
C2461,2567.411333
C1740,2456.423333
C5411,3173.482500
C3820,2741.061429
C6005,1745.087000
C4286,1657.435000
C3590,2093.618182
C4353,3064.126667
C5170,2256.196667
C1023,1819.110667
C6016,2830.777647
C6417,2565.607500
C1947,2690.272500
C8879,3385.548571
C3001,2683.907391
C2836,2116.585556
C1396,1981.545000
C2270,1718.818571
C9817,2516.780909
C6002,2634.533750
C5262,2317.455000
C1943,2994.616667
C6943,3112.273333
C9130,2227.227333
C1498,3471.345714
C7123,1719.075455
C9780,2558.395000
C5282,2922.822857
C6512,2062.940000
C2766,1930.437857
C6383,3522.243529
C2412,3361.559231
C2566,2095.318462
C4924,1885.760769
C3813,1007.420769
C7907,1842.475556
C1769,1895.642857
C1798,2761.236250
C6845,2625.110833
C3024,2481.455714
C3778,2582.163571
C7190,1286.847000
C8718,2135.494545
C3651,2706.233333
C1337,2019.458889
C4125,2480.566000
C4552,2979.905385
C7263,1371.465000
C6967,2631.995625
C5104,3605.671111
C9612,2514.503846
C5903,2597.545000
C3201,2212.557333
C3046,2487.546364
C5737,1679.026667
C6931,2661.523200
C7424,3510.646667
C4305,3335.524167
C2368,2473.440714
C7001,2677.171429
C8579,2331.086250
C5353,2293.100833
C4915,1821.033077
C5881,2389.770000
C7916,3114.563846
C4628,1810.305000
C9516,3558.911429
C2473,4063.500000
C9896,2859.453000
C5301,2110.965000
C4150,2421.248125
C9296,2462.457143
C5950,2238.085556
C2062,1768.349167
C6985,3216.231053
C4165,2146.904286
C5637,2622.301538
C2120,2363.836923
C9442,3007.801000
C3423,3391.001250
C4640,2605.445000
C8873,1513.729231
C4498,2178.861000
C1114,2461.048462
C8370,2621.780625
C6384,2913.815000
C6974,2122.071765
C5241,2641.494615
C9051,2036.768750
C7234,3014.972222
C9569,2520.614286
C1703,2096.054000
C3033,2679.236000
C7892,2543.685385
C1955,1952.806667
C3579,2748.311818
C1036,3288.578182
C5874,2544.210769
C8774,2158.719000
C7733,1678.804167
C2792,2837.611667
C7083,2211.226250
C9256,2600.857500
C9791,1466.475000
C5948,1627.375000
C9687,3444.581111
C4288,3038.323333
C7194,3868.578125
C8568,3351.448667
C6042,2042.658889
C8132,3468.244000
C9096,3020.574615
C3645,2468.110000
C5532,2177.372857
C8679,2675.288235
C8780,2125.334444
C9776,2323.985385
C3913,2994.583333
C7771,3661.466000
C7379,2129.568571
C7370,2506.703333
C8794,1289.242308
C1321,1983.541667
C4786,2678.376000
C1918,2015.537647
C6119,2840.167143
C6861,1650.487778
C1127,2123.002632
C3463,2773.135714
C1328,2791.046364
C7385,1649.325882
C9892,2940.849500
C3343,2704.280000
C1343,2480.734000
C5239,2446.178182
C1934,2223.672500
C2724,1945.142000
C4036,2493.544444
C4916,2549.292000
C8208,2142.695714
C2988,3276.855556
C7104,1888.840909
C4473,2996.582308
C4346,2120.112000
C1542,2346.273000
C3070,2178.938889
C7420,2281.881667
C2075,2962.060000
C2203,2125.516154
C9444,2443.141875
C7493,2976.454737
C6360,1878.671250
C1732,2856.165714
C3533,1986.821000
C7524,2375.248824
C4831,2408.191875
C9666,2774.014167
C9075,2243.732000
C7584,2000.532667
C4117,2561.370000
C1608,2306.060909
C5340,2882.356250
C2249,2128.073750
C9767,2110.718182
C3999,2207.369375
C7497,3106.606667
C2857,1959.219286
C8052,3240.032500
C7502,1869.827143
C1937,2193.012105
C1507,2705.120667
C3459,3135.115625
C9944,2604.435385
C5163,2588.524167
C3835,2523.984737
C9232,1608.002222
C9503,2260.287692
C6034,1849.947143
C7580,3084.818889
C9314,2767.093333
C3896,2668.043333
C3007,3211.240769
C2926,2391.986250
C6240,3018.656154
C8556,2614.565833
C7833,2829.019231
C2492,1737.853846
C3719,2017.752727
C2009,2698.191667
C2406,2377.158824
C4103,2554.854000
C1485,1323.014444
C3960,2561.533077
C1570,2941.913077
C1359,2563.267333
C4254,2953.267000
C9478,2284.278667
C6154,2228.330000
C1817,1951.191429
C9153,2205.541429
C8055,2703.418462
C1600,3116.537273
C8073,3411.402000
C6576,2748.585000
C6438,1581.482000
C7758,4061.106000
C1526,3243.220000
C1952,2903.530000
C1209,3284.019167
C5888,2569.166190
C1020,2120.163571
C2643,1115.948000
C5760,2052.616364
C3363,2761.927143
C9079,2398.389286
C1066,2334.605000
C3061,2579.835000
C6472,3597.810000
C6554,2614.987778
C8557,2291.317500
C2416,2952.421429
C1322,2295.110909
C4292,3633.001875
C5147,3446.390000
C3211,2966.560000
C1558,1788.595714
C6314,3090.551875
C7402,2169.451333
C6278,2855.819333
C6415,2687.493158
C4667,2205.050000
C4070,2833.488824
C4597,1699.151667
C5847,1447.672500
C8298,3245.373077
C4866,2233.630000
C5808,2596.191905
C4414,2725.635000
C7075,2691.517000
C4520,2242.293571
C2872,2432.334444
C3349,3188.634000
C1717,3043.840000
C9852,1800.362500
C5138,2562.216667
C6856,3767.053333
C3329,2898.249286
C2932,1429.104444
C9464,2584.124167
C6269,2878.323000
C6853,2137.930000
C6471,2499.260000
C1893,2349.175882
C8343,2449.103571
C3940,2515.273529
C2607,2891.350000
C5003,3629.297778
C5261,1728.637273
C9301,2175.558462
C8303,2935.406875
C8374,2126.625385
C9539,1919.535556
C5223,1893.176364
C4324,2876.580000
C8512,4514.773333
C3126,3138.272500
C3327,1585.480769
C2122,2445.607273
C9712,1669.482000
C4359,2557.673333
C7659,2900.541667
C9013,2668.653571
C6793,2945.268182
C7043,2356.413571
C5527,2203.652500
C9627,2010.284118
C1186,2828.860909
C6859,3008.175455
C5101,1439.655385
C4974,3487.910000
C3071,2325.637500
C8969,3461.350000
C6380,3173.294000
C8962,1889.016250
C6687,2327.900000
C3658,2848.117647
C7251,2176.533158
C2598,3916.387500
C2457,2342.023636
C9693,1643.851667
C5191,2324.742000
C3357,3457.626429
C4441,3027.897647
C9781,3271.650000
C3245,2190.566250
C5791,2007.666667
C5606,2595.025000
C6593,2697.071176
C7365,1733.819091
C9888,2831.555714
C4268,2870.460000
C8160,2149.177692
C7116,1642.004167
C9064,2343.321250
C9048,3008.118000
C2440,2422.095000
C6056,2374.955000
C9680,2324.735714
C5141,2601.529000
C8022,3369.230833
C4875,3143.329091
C9408,2535.888750
C3973,2171.796429
C4783,2867.312500
C7172,1698.345000
C5517,1982.960000
C9778,2875.820909
C9979,2544.554167
C9622,2304.653846
C4447,3659.737000
C7611,2465.377500
C9959,3310.723333
C5568,1515.093333
C7863,3182.352727
C9788,2533.275000
C4022,1955.362222
C4136,2682.800000
C4204,2974.753529
C1240,4017.911667
C3976,2766.736364
C6929,2527.967500
C9591,4307.560909
C2966,3473.345000
C5110,3299.822000
C2161,2631.568333
C2340,2579.058333
C1030,3005.900714
C7944,2694.940714
C1587,2018.449231
C7343,2669.669000
C4793,2075.530000
C5165,2163.812222
C7531,2837.193333
C8011,2143.017500
C2977,2474.099412
C5708,3197.261000
C6027,3470.363000
C5664,2615.200000
C1662,1812.872727
C9146,2818.145000
C6672,3184.930667
C6875,3017.558889
C3952,3065.013077
C4774,2971.793529
C4575,2631.317273
C6699,3422.594615
C3948,2993.976250
C2529,2886.048667
C7553,2285.650833
C5117,2112.164667
C7844,2890.617778
C4969,2463.202667
C2287,2264.755000
C3594,2091.031111
C8930,2774.694167
C3487,2456.420667
C4865,2710.419333
C1462,3366.463077
C9904,2231.405625
C9879,1977.272778
C1156,1970.800000
C4898,2033.293000
C6148,2537.862500
C2637,2257.471875
C8861,3047.760000
C9017,2335.337692
C7352,2342.942000
C8673,2323.935833
C1076,2795.561538
C2549,2201.326667
C3975,2608.828333
C9252,2060.953077
C2047,2411.885556
C6430,2777.293000
C7079,2359.085000
C1873,2782.474000
C3042,2121.022000
C3200,2432.804375
C1118,2791.139500
C1688,2840.402222
C8038,2619.201538
C4129,2662.230769
C2376,2429.082667
C8154,2507.250625
C7537,3169.958750
C1332,2579.405000
C6362,2641.683750
C5395,1867.843750
C1759,2432.560000
C4002,3161.656667
C7745,2507.137647
C1859,2075.153077
C1668,2913.163571
C5450,3291.902857
C5121,2700.857778
C3859,2196.010000
C5968,3225.703000
C9398,2234.717500
C4130,4102.626154
C2438,2462.173158
C4397,2236.133636
C4494,2190.283333
C8588,3073.193636
C6190,2380.775000
C4878,1862.713529
C9502,2837.174000
C4489,2324.995000
C9802,2298.462941
C4825,2484.002000
C6516,2531.424444
C7921,2452.213158
C6712,3167.882727
C4072,2990.731765
C3530,2409.940000
C9190,842.431667
C9371,3275.100000
C3541,1588.662500
C7249,2015.360000
C5651,2704.750769
C8779,3361.192333
C2710,3419.717059
C4513,2447.100000
C7225,3328.938571
C7210,2672.558235
C2875,2242.220000
C3306,2985.183333
C4849,3505.092308
C4727,1673.486923
C3078,2511.697857
C5306,2263.988571
C4753,2533.110714
C5068,1943.840667
C4409,1675.860833
C5814,2943.728000
C4694,1954.074706
C8240,2380.017143
C8043,3318.008889
C6345,3302.945714
C6838,2748.452500
C7544,2616.309286
C5139,3029.242727
C1854,3653.203684
C2151,3848.324615
C1479,1720.440769
C1549,2381.795000
C7898,2917.546667
C6220,1746.961333
C8308,2730.811053
C5767,2672.838571
C5445,2856.440000
C5747,2077.882222
C5969,1594.694286
C8041,2072.583636
C7505,2304.150000
C3758,1766.532778
C8798,2677.426000
C2537,2947.243571
C2012,2682.219000
C3035,3587.762857
C8938,2070.498125
C8169,2751.517500
C6679,2112.866429
C3547,2079.539000
C5341,2881.376923
C4376,3031.785882
C3471,2634.883636
C7338,2466.331875
C7200,2873.315000
C4482,3490.936429
C1552,1780.632222
C6839,2456.725455
C6462,3565.952857
C8715,2095.160000
C3903,2754.304615
C7499,2595.664444
C2396,3073.727857
C8016,2190.497500
C4118,3137.166667
C6411,2302.588462
C1559,2549.295000
C1609,3222.405625
C5266,2188.624000
C9437,3235.575333
C4222,3136.295000
C9684,2309.087857
C3939,1765.282500
C6407,1624.695000
C5081,2525.765000
C1115,1702.521250
C4432,1911.817222
C9409,3364.668667
C5382,2587.210526
C4720,1484.632000
C4541,2407.858947
C8045,3748.750000
C8822,3027.937500
C1409,2637.912667
C2276,3081.884545
C2839,2755.035000
C4660,4394.388000
C8184,2947.860000
C9465,2872.906364
C3483,1989.972308
C8756,2105.217778
C5388,2281.405000
C8279,1963.757692
C5508,3094.058889
C3266,2528.344000
C3161,1492.824444
C1404,1769.812222
C6110,3050.628889
C7354,2049.168182
C6922,2537.382778
C4210,3093.215455
C1908,1463.100000
C1110,2588.097222
C8411,2627.357692
C2884,3347.254000
C9965,2503.373333
C3256,3028.723750
C8355,3573.953333
C8408,1376.068000
C4868,2294.480000
C2146,1999.412727
C4419,1564.149000
C5693,2632.622500
C3272,2225.970000
C9429,2149.425714
C5287,2943.828000
C8547,3208.928750
C8306,2301.662941
C2741,1807.544000
C4888,3009.701429
C6916,1724.002667
C4421,2248.026154
C3945,2261.964286
C9871,2630.564500
C7459,2720.567000
C7432,2098.471818
C8093,2808.993846
C1585,2666.378571
C9596,1617.655333
C9922,2310.251818
C9211,3348.717857
C6342,2396.590625
C8997,3187.341176
C4773,2724.273077
C9824,2787.261250
C6830,2338.645000
C7279,2401.666000
C6305,2019.255000
C6491,2318.566923
C3741,1831.023000
C2339,2105.748000
C5555,1731.171818
C2649,2686.071538
C1239,1002.407500
C2829,1868.434000
C7721,2625.025455
C6451,3063.815556
C5810,795.473333
C2263,2885.397000
C5181,2007.847500
C9387,1894.655000
C4503,2721.504615
C7789,2655.747273
C8533,1525.788462
C6227,2000.344545
C7115,2334.204118
C5150,2999.048000
C8717,2839.086667
C6642,2134.942500
C9206,2858.265000
C1706,1559.034444
C8850,3428.538333
C5177,2823.200833
C9334,2942.295789
C7393,2534.988889
C6981,2390.109000
C3707,2283.754286
C9123,2598.794545
C1690,2325.649333
C4369,2984.124000
C1375,2997.845625
C4424,2498.600000
C3131,2663.422857
C6952,1877.849286
C5270,2336.059286
C4614,2432.523182
C8840,2190.079286
C1543,2680.595882
C1974,2915.355000
C1879,2915.004706
C5052,2844.661000
C7718,1659.924444
C9369,2036.121667
C3085,1544.698750
C5990,2937.238421
C2313,2391.076000
C4431,1793.820000
C4453,2159.787500
C1675,2132.536667
C2072,2556.101429
C8767,1915.772000
C3576,2278.671111
C1574,2947.815556
C9497,2576.795385
C9750,2712.772667
C4941,3740.264286
C3925,2928.723333
C7147,3690.390000
C1601,1693.899091
C3101,2760.673333
C3027,2696.201000
C9506,2362.243333
C3173,4067.000000
C6895,3794.321818
C5595,1812.880000
C8580,1585.831538
C9095,2355.968125
C9316,1769.057619
C7934,1809.263333
C6546,2814.806429
C5462,2223.995000
C5493,2878.019231
C7967,2092.693636
C3387,1801.844000
C7256,3087.382727
C8833,2599.320833
C9864,1909.717143
C6572,2917.019167
C9098,3129.680833
C2097,1792.178889
C6809,3909.883333
C1231,3260.291667
C4265,2745.513571
C3134,2293.630000
C2134,2678.537857
C6508,1933.390526
C2348,2657.435000
C7011,2667.615714
C4908,3125.824706
C5886,3086.615385
C1131,2286.607143
C1951,2144.911111
C4728,1909.192353
C8937,3025.174667
C4604,3342.887500
C9908,2590.937222
C6490,2964.348182
C5787,1977.327273
C7136,2382.012500
C3388,2240.695000
C3717,3604.898182
C8498,2793.975714
C1837,3617.415714
C5312,1749.345000
C5877,3643.915000
C4766,2339.146250
C7175,2782.197000
C5817,3682.825556
C1534,2609.747273
C4950,2106.482000
C5756,3147.537778
C2316,2518.537778
C2452,1394.775385
C7601,2035.851250
C9370,2751.917647
C9479,1807.967692
